ID,Nazwa
146019,"DZIEWCZYNKI ŁYŻWIARKI 2D"
146020,"HARFISTKA 2D"
146021,"ŁYŻWIARKA 2D"
146022,"ŁYŻWIARZ 2D"
146023,"SKRZYPACZKA 2D"
146024,"WIOLONCZELISTA 2D"
146025,"HARFA I ANIOŁ 2D"
146026,"TRĄBKA I ANIOŁ 2D"
146027,"WIOLONCZELA I ANIOŁ 2D"
146028,"GNOM Z BRODĄ"
146029,"GNOM Z FARTUCHEM"
146030,"POSTACI PARA LATA TRZYDZIESTE 2D NA SKRZYNI"
146031,"POSTACI PARA LATA TRZYDZIESTE WIECZOROWO 2D"
146032,"BAŁWAN Z PREZENTEM 3D"
146033,"ANIOŁ 3D 500cm"
146034,"MARIA Z JEZUSKIEM BEZ ZASILANIA"
146035,"JÓZEF - BEZ ZASILANIA"
146036,"PASTERZ - BEZ ZASILANIA"
146037,"KRÓL KACPER  BEZ ZASILANIA"
146038,"KRÓL MELCHIOR MIRRA"
146039,"KRÓL BALTAZAR ZŁOTO - BEZ ZASILANIA"
146040,"MIKOŁAJ 3D Z WORKIEM"
146041,"FIG.ZŁOTY ANIOŁ 3D"
146042,"ANIOŁ ZE ŚWIECZKĄ"
147001,"KRÓLEWSKA KARETA"
147003,"SANIE"
147005,"SANIE KRÓLOWEJ ŚNIEGU"
147006,"BALON 3D"
147007,"SAMOLOT ŚW. MIKOŁAJA 3D"
147008,"SAMOCHÓD"
147013,"MIKOŁAJ NA MOTOCYKLU 3D NA KRATACH"
147014,"SAMOCHÓD ŚWIĘTEGO MIKOŁAJA"
147015,"AUTOBUS ŚWIĘTEGO MIKOŁAJA - BEZ ŻARÓWEK"
147018,"SAMOCHÓD MIKRUS"
147030,"SAMOCHÓD FORD T WERSJA ZIELONY ZADRUK"
148002,"ŚWIĄTECZNE ZYCZENIA"
149001,"KARUZELA KRÓLEWSKA"
149002,"ZAMEK KRÓLOWEJ"
149003,"ZAMEK Z BAJKI"
149004,"DOMEK Z PIERNIKA"
149005,"DOMEK 2D"
149006,"DOMEK 2D"
149007,"DOMEK 2D"
149008,"KOPALNIA PREZENTÓW 3D SZYB Z MERRY CHRISTMAS"
149009,"HUŚTAWKA ZŁOTA LAMPION Z CZERWONĄ KOKARDĄ"
149010,"SZOPKA 3D"
149011,"KONNA KARUZELA"
149012,"KARUZELA BAJKOWA"
149013,"ROTUNDA MULTIMEDIALNA"
150000,"BAJKOWY KOMINEK 3D"
150001,"ZŁOTY FOTEL"
150002,"FOTEL ŚW. MIKOŁAJA"
150003,"ZŁOTA FOTORAMA"
150004,"KRÓLEWSKA FOTORAMA"
150005,"OZDOBNY WACHLARZ"
150008,"LEŚNA FOTORAMA"
150009,"ŁAWKA PARKOWA"
150010,"FOTORAMA, LUSTRO KROLOWEJ ŚNIEGU 3D"
150014,"FOTOPUNKT Z CHOINKĄ 2D"
150018,"RAMA DO ZDJĘĆ Z TRÓJKĄTÓW NA KRATACH"
150020,"ANIELSKIE SKRZYDŁA 3D"
150025,"FOTORAMKA KLASYCZNA Z KOKARDĄ"
150031,"MAGICZNE LUSTRO 2D"
150032,"MONIDŁO ANIELESKIE SKRZYDŁA"
150033,"ŁAWKA ART DECO"
150034,"KOLEJKA ŚWIĄTECZNA 2D"
150035,"ŁAWKA ZE ŚNIEŻYNKĄ ART DEKO"
150036,"FOTORAMA Z CZAPKĄ MIKOŁAJA"
150039,"RAMKA POLAROID ROMBOWA"
150040,"MONIDŁO MIŚ W STROJU MIKOŁAJA KAT"
150041,"RAMKA POLAROID Z NARCIARKĄ KAT"
150042,"RAMKA POLAROID ZE SNOWBOARDZISTĄ KAT"
150043,"SZIEDZISKO Z GAŁĘZIAMI I WSTĄŻKĄ CZERWONĄ"
150044,"RAMKA FOTO - KOPERTA LIST Z NAKLEJKĄ GIRLANDĄ I NAPISEM"
151001,"KOLUMNA Z KULA"
152001,"CHOINKA Z ŻYCZENIAMI"
152002,"LEŚNE SERCE"
153001,"HARFA"
153002,"KONTRABAS"
153003,"TRĄBKA"
153004,"WALTORNIA"
153005,"GWIAZDA"
153006,"GWIAZDA NA KRACIE"
153007,"GWIAZDA NA STOJAKU I KRACIE"
153008,"GWIAZDA NA STOJAKU"
153009,"GWIAZDA"
153010,"ZEGAR KRÓLOWEJ ŚNIEGU"
153012,"ŚNIEZYNKA 3D"
153028,"FILIŻANKA OBROTOWA 3D"
153032,"GÓRA LODOWA 3D"
155001,"KOMPOZYCJA Z ANIOŁAMI FOTOPUNKTAMI 3D"
155003,"MAGICZNY PREZENT 3D Z RENIFEREM ZESTAW"
155004,"PINGWIN 2D I SANKI 3D"
155008,"SANIE Z ZAPRZEGIEM NIEDZWIEDZI 3D"
155010,"ZACZAROWANA DOROŻKA z koniem 3D"
